"year","month","day","wday","mid_load","target_residuals","lm_pred","index","lstm","arima_lstm","stoch","full_model","res_full_model"
2019,6,"WD","Fr",-1476.26815068493,130.121270475381,-1606.38942116031,2348,-43.76828,-81.7186583391135,-37.9503783391135,-1644.33979949942,168.071648814493
2019,6,"WE","Sa",-1901.22648401827,212.788359997237,-2114.01484401551,2349,95.57694,61.0406861730724,-34.5362538269276,-2148.55109784244,247.324613824168
2019,6,"WE","So",-2386.01815068493,248.57562395986,-2634.59377464479,2350,91.35737,57.8555917383694,-33.5017782616306,-2668.09555290642,282.077402221491
2019,6,"WD","Mo",-1340.97648401827,68.6523665585139,-1409.62885057678,2351,-10.681423,-47.5863808100564,-36.9049578100564,-1446.53380838684,105.557324368566
2019,6,"WD","Di",-1104.01815068493,142.79289252513,-1246.81104321006,2352,1.5489343,-36.048957791532,-37.597892091532,-1284.40893530159,180.390784616662
2019,6,"WD","Mi",-817.768150684933,227.301173878985,-1045.06932456392,2353,40.081345,5.84494300175038,-34.2364019982496,-1079.30572656217,261.537575877237
2019,6,"WD","Do",-610.184817351599,379.050064935196,-989.234882286795,2354,6.362591,-27.5081115961004,-33.8707025961004,-1023.1055848829,412.920767531296
2019,6,"WD","Fr",-739.101484018267,317.689453052795,-1056.79093707106,2355,44.285477,7.12347002227453,-37.1620069777255,-1093.95294404879,354.851460030518
2019,6,"WE","Sa",-1268.4348173516,304.009446177038,-1572.44426352864,2356,204.12659,166.909659188822,-37.2169308111775,-1609.66119433982,341.226376988217
2019,6,"HD","So",-2227.5598173516,547.496302577943,-2775.05611992954,2357,415.1612,381.139266558719,-34.0219334412808,-2809.07805337082,581.518236019221
2019,6,"WD","Mo",-1830.14315068493,-656.615804084864,-1173.52734660007,2358,-28.493446,-62.7529013543043,-34.2594553543043,-1207.78680195437,-622.356348730556
2019,6,"WD","Di",-886.309817351599,165.097809882962,-1051.40762723456,2359,44.020493,6.68599650885746,-37.3344964911425,-1088.7421237257,202.432306374104
2019,6,"WD","Mi",-487.143150684933,603.165737882235,-1090.30888856717,2360,70.11963,33.2951833755205,-36.8244466244795,-1127.13333519165,639.990184506717
2019,6,"WD","Do",-600.226484018267,420.856822623309,-1021.08330664158,2361,44.496895,10.6064245574639,-33.8904704425361,-1054.97377708412,454.747293065849
2019,6,"WD","Fr",-513.768150684933,474.587960549421,-988.356111234354,2362,43.525497,8.87367442963989,-34.6518225703601,-1023.00793380471,509.239783119781
2019,6,"WE","Sa",-986.393150684933,542.297885812804,-1528.69103649774,2363,195.04121,157.615003597523,-37.4262064024768,-1566.11724290022,579.724092215284
2019,6,"WE","So",-1578.26815068493,559.512818846967,-2137.7809695319,2364,184.12177,147.685959560296,-36.4358104397045,-2174.2167799716,595.948629286674
2019,6,"WD","Mo",-789.601484018267,311.404267735705,-1101.00575175397,2365,-14.669409,-48.5063594956832,-33.8369504956832,-1134.84270224965,345.241218231386
2019,6,"WD","Di",-872.434817351599,208.221713559214,-1080.65653091081,2366,1.9193126,-33.1140545521051,-35.0333671521051,-1115.68989806292,243.255080711316
2019,6,"WD","Mi",-865.143150684933,204.29734926352,-1069.44049994845,2367,4.898722,-32.5446352183898,-37.4433572183898,-1106.88385716684,241.740706481907
2019,6,"WD","Do",-1000.97648401827,66.2756815389637,-1067.25216555723,2368,-13.495258,-49.559706893645,-36.064448893645,-1103.31661445088,102.340130432605
2019,6,"HD","Fr",-2130.8098173516,649.510020970542,-2780.31983832214,2369,330.61792,296.763797308659,-33.8541226913414,-2814.17396101348,683.364143661882
2019,6,"WE","Sa",-2479.14315068493,-130.813165156557,-2348.32998552837,2370,125.25226,89.8605244133481,-35.3917355866519,-2383.72172111502,-95.421429569908
2019,6,"WE","So",-2852.35148401827,200.357069575926,-3052.7085535942,2371,202.76923,165.375129122259,-37.3941008777414,-3090.10265447194,237.751170453671
2019,7,"WD","Mo",-1395.89315068493,254.892431786209,-1650.78558247114,2372,-16.414644,195.321789339325,211.736433339325,-1439.04914913181,43.1559984468845
2019,7,"WD","Di",-1276.0598173516,261.490831126349,-1537.55064847795,2373,-39.085537,174.439425839946,213.524962839946,-1324.025685638,47.9658682864044
2019,7,"WD","Mi",-1538.89315068493,-278.547729806557,-1260.34542087837,2374,-70.41897,141.322202564454,211.741172564454,-1048.60424831392,-490.288902371014
2019,7,"WD","Do",-1663.14315068493,-118.827685272947,-1544.31546541198,2375,-26.512058,183.657966158744,210.170024158744,-1334.14544125324,-328.997709431694
2019,7,"WD","Fr",-1668.1848173516,99.8881958512097,-1768.07301320281,2376,29.908783,241.950672602531,212.041889602531,-1556.03112360028,-112.153693751321
2019,7,"WE","Sa",-2230.60148401827,425.51946341703,-2656.1209474353,2377,185.86038,399.254712703187,213.394332703187,-2442.72661473211,212.125130713843
2019,7,"WE","So",-2631.76815068493,263.30419706485,-2895.07234774978,2378,189.16054,400.617545913629,211.457005913629,-2683.61534183615,51.8471911512211
2019,7,"WD","Mo",-1822.10148401827,481.969735357995,-2304.07121937626,2379,17.348534,227.671027637619,210.322493637619,-2093.74872573864,271.647241720372
2019,7,"WD","Di",-2075.01815068493,0.653522431514375,-2075.67167311644,2380,-7.372753,204.93068147665,212.30343447665,-1863.36823863979,-211.64991204514
2019,7,"WD","Mi",-1998.35148401827,262.526040036458,-2260.87752405473,2381,-41.428013,171.794741745581,213.222754745581,-2047.65476930915,49.3032852908793
2019,7,"WD","Do",-1950.22648401827,218.577688404437,-2168.80417242271,2382,-9.938303,201.280822459465,211.219125459465,-1957.58504696325,7.35856294497512
2019,7,"WD","Fr",-2262.26815068493,32.1482688246792,-2294.41641950961,2383,28.440346,238.950784381697,210.510438381697,-2083.90598112791,-178.362169557017
2019,7,"WE","Sa",-2507.14315068493,279.900217944125,-2787.04336862905,2384,104.74266,317.259549462786,212.516889462786,-2574.52647916626,67.3833284813345
2019,7,"WE","So",-2797.10148401827,544.702990287164,-3341.80447430543,2385,110.48093,323.502099776772,213.021169776772,-3128.78330452866,331.681820510388
